Lat Lon Depth Vs
50.750191 285.499466 520.000000 5.216566
50.750191 285.499466 570.000000 5.303038
50.750191 285.499466 620.000000 5.388578
50.750191 285.499466 670.000000 5.472982
50.750191 285.749466 70.000000 4.610465
50.750191 285.749466 90.000000 4.553751
50.750191 285.749466 110.000000 4.533224
50.750191 285.749466 130.000000 4.511767
50.750191 285.749466 150.000000 4.502636
50.750191 285.749466 170.000000 4.501332
50.750191 285.749466 190.000000 4.500718
50.750191 285.749466 210.000000 4.500580
50.750191 285.749466 230.000000 4.538419
50.750191 285.749466 250.000000 4.568432
50.750191 285.749466 280.000000 4.613385
50.750191 285.749466 320.000000 4.672117
50.750191 285.749466 370.000000 4.743044
50.750191 285.749466 420.000000 4.812693
50.750191 285.749466 420.000000 5.048637
50.750191 285.749466 470.000000 5.130210
50.750191 285.749466 520.000000 5.216566
50.750191 285.749466 570.000000 5.303038
50.750191 285.749466 620.000000 5.388578
50.750191 285.749466 670.000000 5.472982
50.750191 285.999466 70.000000 4.610465
50.750191 285.999466 90.000000 4.553751
50.750191 285.999466 110.000000 4.533224
50.750191 285.999466 130.000000 4.511767
50.750191 285.999466 150.000000 4.502636
50.750191 285.999466 170.000000 4.501332
50.750191 285.999466 190.000000 4.500718
50.750191 285.999466 210.000000 4.500580
50.750191 285.999466 230.000000 4.538419
50.750191 285.999466 250.000000 4.568432
50.750191 285.999466 280.000000 4.613385
50.750191 285.999466 320.000000 4.672117
50.750191 285.999466 370.000000 4.743044
50.750191 285.999466 420.000000 4.812693
50.750191 285.999466 420.000000 5.048637
50.750191 285.999466 470.000000 5.130210
50.750191 285.999466 520.000000 5.216566
50.750191 285.999466 570.000000 5.303038
50.750191 285.999466 620.000000 5.388578
50.750191 285.999466 670.000000 5.472982
50.750191 286.249458 70.000000 4.610465
50.750191 286.249458 90.000000 4.553751
50.750191 286.249458 110.000000 4.533224
50.750191 286.249458 130.000000 4.511767
50.750191 286.249458 150.000000 4.502636
50.750191 286.249458 170.000000 4.501332
50.750191 286.249458 190.000000 4.500718
50.750191 286.249458 210.000000 4.500580
50.750191 286.249458 230.000000 4.538419
50.750191 286.249458 250.000000 4.568432
50.750191 286.249458 280.000000 4.613385
50.750191 286.249458 320.000000 4.672117
50.750191 286.249458 370.000000 4.743044
50.750191 286.249458 420.000000 4.812693
50.750191 286.249458 420.000000 5.048637
50.750191 286.249458 470.000000 5.130210
50.750191 286.249458 520.000000 5.216566
50.750191 286.249458 570.000000 5.303038
50.750191 286.249458 620.000000 5.388578
50.750191 286.249458 670.000000 5.472982
50.750191 286.499458 70.000000 4.610465
50.750191 286.499458 90.000000 4.553751
50.750191 286.499458 110.000000 4.533224
50.750191 286.499458 130.000000 4.511767
50.750191 286.499458 150.000000 4.502636
50.750191 286.499458 170.000000 4.501332
50.750191 286.499458 190.000000 4.500718
50.750191 286.499458 210.000000 4.500580
50.750191 286.499458 230.000000 4.538419
50.750191 286.499458 250.000000 4.568432
50.750191 286.499458 280.000000 4.613385
50.750191 286.499458 320.000000 4.672117
50.750191 286.499458 370.000000 4.743044
50.750191 286.499458 420.000000 4.812693
50.750191 286.499458 420.000000 5.048637
50.750191 286.499458 470.000000 5.130210
50.750191 286.499458 520.000000 5.216566
50.750191 286.499458 570.000000 5.303038
50.750191 286.499458 620.000000 5.388578
50.750191 286.499458 670.000000 5.472982
50.750191 286.749458 70.000000 4.610465
50.750191 286.749458 90.000000 4.553751
50.750191 286.749458 110.000000 4.533224
50.750191 286.749458 130.000000 4.511767
50.750191 286.749458 150.000000 4.502636
50.750191 286.749458 170.000000 4.501332
50.750191 286.749458 190.000000 4.500718
50.750191 286.749458 210.000000 4.500580
50.750191 286.749458 230.000000 4.538419
50.750191 286.749458 250.000000 4.568432
50.750191 286.749458 280.000000 4.613385
50.750191 286.749458 320.000000 4.672117
50.750191 286.749458 370.000000 4.743044
50.750191 286.749458 420.000000 4.812693
50.750191 286.749458 420.000000 5.048637
50.750191 286.749458 470.000000 5.130210
50.750191 286.749458 520.000000 5.216566
50.750191 286.749458 570.000000 5.303038
50.750191 286.749458 620.000000 5.388578
50.750191 286.749458 670.000000 5.472982
50.750191 286.999458 70.000000 4.610465
50.750191 286.999458 90.000000 4.553751
50.750191 286.999458 110.000000 4.533224
50.750191 286.999458 130.000000 4.511767
50.750191 286.999458 150.000000 4.502636
50.750191 286.999458 170.000000 4.501332
50.750191 286.999458 190.000000 4.500718
50.750191 286.999458 210.000000 4.500580
50.750191 286.999458 230.000000 4.538419
50.750191 286.999458 250.000000 4.568432
50.750191 286.999458 280.000000 4.613385
50.750191 286.999458 320.000000 4.672117
50.750191 286.999458 370.000000 4.743044
50.750191 286.999458 420.000000 4.812693
50.750191 286.999458 420.000000 5.048637
50.750191 286.999458 470.000000 5.130210
50.750191 286.999458 520.000000 5.216566
50.750191 286.999458 570.000000 5.303038
50.750191 286.999458 620.000000 5.388578
50.750191 286.999458 670.000000 5.472982
50.750191 287.249458 70.000000 4.610465
50.750191 287.249458 90.000000 4.553751
50.750191 287.249458 110.000000 4.533224
50.750191 287.249458 130.000000 4.511767
50.750191 287.249458 150.000000 4.502636
50.750191 287.249458 170.000000 4.501332
50.750191 287.249458 190.000000 4.500718
50.750191 287.249458 210.000000 4.500580
50.750191 287.249458 230.000000 4.538419
50.750191 287.249458 250.000000 4.568432
50.750191 287.249458 280.000000 4.613385
50.750191 287.249458 320.000000 4.672117
50.750191 287.249458 370.000000 4.743044
50.750191 287.249458 420.000000 4.812693
50.750191 287.249458 420.000000 5.048637
50.750191 287.249458 470.000000 5.130210
50.750191 287.249458 520.000000 5.216566
50.750191 287.249458 570.000000 5.303038
50.750191 287.249458 620.000000 5.388578
50.750191 287.249458 670.000000 5.472982
50.750191 287.499451 70.000000 4.610465
50.750191 287.499451 90.000000 4.553751
50.750191 287.499451 110.000000 4.533224
50.750191 287.499451 130.000000 4.511767
50.750191 287.499451 150.000000 4.502636
50.750191 287.499451 170.000000 4.501332
50.750191 287.499451 190.000000 4.500718
50.750191 287.499451 210.000000 4.500580
