#Network 	 Station 	 Latitude 	 Longitude 	 Elevation 
AV	Q20K	58.6097	-152.3942	180
AV	R17L	57.6313	-156.3599	524
AV	RD01	60.4885	-152.7031	1831
AV	RD02	60.5208	-152.7376	1401
AV	RD03	60.4705	-152.8201	1607
AV	RDDF	60.5912	-152.6883	1134
AV	RDJH	60.5905	-152.8058	1414
AV	RDSO	60.4536	-152.7453	1556.9
AV	RDT	60.5726	-152.4075	930
AV	RDW	60.4821	-152.81	1813
AV	RDWB	60.486807	-152.843634	1659
AV	RED	60.4196	-152.7742	1071
AV	REF	60.4888	-152.694	1641
AV	S12K	55.703	-162.061	411
AV	S14K	56.2848	-159.5532	1059
AV	SPBG	61.2591	-152.3722	1087
AV	SPBL	61.3764	-151.8947	927
AV	SPCG	61.2913	-152.0228	1329
AV	SPCL	61.1956	-152.3399	1274
AV	SPCN	61.2244	-152.1854	735
AV	SPCP	61.2655	-152.155	1616
AV	SPCR	61.2003	-152.2091	984
AV	SPNN	61.3662	-152.7012	1666
AV	SPU	61.1811	-152.0566	800
AV	SPWE	61.27346	-152.559	1317
AV	SSBA	54.7718	-164.1265	766
AV	SSLN	54.8109	-163.9979	637
AV	SSLS	54.7111	-164.0008	817
AV	STLK	61.4982	-151.8349	945
AV	WACK	61.9858	-144.3305	2280
AV	WAZA	62.0746	-144.1544	2531
AV	WEBT	54.5902	-164.755	467
AV	WECS	54.53	-164.7796	639
AV	WESE	54.4723	-164.586	953
AV	WESN	54.5761	-164.5804	549
AV	WESP	54.4926	-164.7233	937
AV	WTUG	54.8466	-164.3873	636
AV	ZRO	54.0907	-165.98	446
CN	ATLI	59.5898	-133.7147	793
CN	BNAB	53.4932	-130.6368	-19
CN	BRWY	61.3704	-139.0338	802.5
CN	BVCY	62.4141	-140.8606	708
CN	CROWY	67.6136	-139.8717	564
CN	DAWY	64.0647	-139.3937	771
CN	DLBC	58.4368	-130.0304	976
CN	EAGLY	66.3701	-136.7191	717
CN	HYT	60.8267	-137.5072	1373
CN	INK	68.3065	-133.5254	44
CN	NDB	53.9538	-132.9399	687
CN	PCLB	53.7155	-132.5211	492
CN	PLBC	59.455	-136.3659	285
CN	RUBB	54.3262	-130.2523	12
CN	VIB	53.2522	-132.5406	1008
CN	WHY	60.6597	-134.8825	1273
CN	YUK1	62.1533	-140.5288	1532
CN	YUK2	61.7668	-140.8426	1229
CN	YUK3	61.7755	-140.4595	2100
CN	YUK4	61.4348	-138.5463	2009
CN	YUK5	61.1315	-137.8593	1619
CN	YUK6	60.9432	-138.3626	2233
CN	YUK7	60.5307	-138.1399	1992
CN	YUK8	61.2844	-139.7646	2456
DE	UAF01	64.549873	-149.083237	130
DE	UAF02	64.592651	-149.069672	377
EO	KLRS	61.03095	-138.40663	795
GM	AD06	60.62928	-151.34166	31.8
GM	AD07	59.779942	-151.836594	40
GM	AD08	60.1926	-151.43912	75
GM	AD09	61.3055	-149.5047	210
